name,,nameID,country_nameID,value,countryAbbr,countryName
,,,,,,
Abou el Kacem Chebbi,,Chebbi,TND_Chebbi,10,TND,Tunisia
Abraham Lincoln,,Lincoln,USD_Lincoln,5,USD,United States
Abraham Valdelomar Pinto,,Pinto,PEN_Pinto,50,PEN,Peru
Agnes Macphail,,Agnes,CAD_Agnes,10,CAD,Canada
Akaki Tsereteli ,,Akaki,GEL_Akaki,10,GEL,Georgia
Alan Turing,,Turing ,GBP_Turing ,50,GBP,England
Alejo Calatayud,,Alejo,BOB_Alejo,100,BOB,Bolivia
Alexander Hamilton,,Hamilton,USD_Hamilton,10,USD,United States
Alfonso López Michelsen,,Alfonso,COP_Alfonso,20000,COP,Colombia
Alfredo González Flores,,Gonzalez,CRC_Gonzalez,5000,CRC,Costa Rica
Alfredo Vásquez Acevedo,,Vasquez,UYU_Vasquez,500,UYU,Uruguay
Alhaji Aliyu Mai-Bornu,,Aliyu,NGN_Aliyu,1000,NGN,Nigeria
Alhaji Sir Abubarkar Tafawa Balewa,,Balewa,NGN_Balewa,5,NGN,Nigeria
Alhaji Sir Ahmadu Bello,,Bello,NGN_Bello,200,NGN,Nigeria
Alykul Osmonov,,Osmonov,KGS_Osmonov,200,KGS,Kyrgyzstan
Andrés Bello,,Andres,CLP_Andres,20000,CLP,Chile
Andrew Jackson,,Jackson,USD_Jackson,20,USD,United States
Antonio José de Sucre,,Sucre,BOB_Sucre,100,BOB,Bolivia
Apiaguaiki Tüpa,,Tupa,BOB_Tupa,10,BOB,Bolivia
Apirana Ngata,,Ngata,NZD_Ngata,50,NZD,New Zealand
Aristides Maria Pereira,,Pereira,CVE_Pereira,5000,CVE,Cape Verde
Arturo Prat Chacón,,Chacon,CLP_Chacon,10000,CLP,Chile
Astrid Lindgren,,Lindgren,SEK_Lindgren,20,SEK,Sweden
Aydın Sayılı,,Sayili,TRY_Sayili,5,TRY,Turkey
Bangabandhu Sheikh Mujibur Rahman,,Rahman,BDT_Rahman,20,BDT,Bangladesh
