name,,nameID,country_nameID,value,countryAbbr,countryName
Banjo Paterson,,Banjo,AUD_Banjo,10,AUD,Australia
Bartolina Sisa,,Bartolina,BOB_Bartolina,200,BOB,Bolivia
"Benigno S. Aquino, Jr.",,Benigno,PHP_Benigno,500,PHP,Philippines
Benito Juárez,,Benito,MXN_Benito,500,MXN,Mexico
Benjamin Franklin,,Franklin,USD_Franklin,100,USD,United States
Birgit Nilsson,,Nilsson,SEK_Nilsson,500,SEK,Sweden
Bogdan Khmelnitsky,,Bogdon,UAH_Bogdon,5,UAH,Ukraine
Božena Němcová,,Bozena,CZK_Bozena,500,CZK,Czech Republic
Braulio Carrillo Colina,,Carrillo,CRC_Carrillo,1000,CRC,Costa Rica
Bruno Racua,,Bruno,BOB_Bruno,50,BOB,Bolivia
Brynjólfur Sveinsson,,Sveinsson,ISK_Sveinsson,1000,ISK,Iceland
Cahit Arf,,Arf,TRY_Arf,10,TRY,Turkey
Carlos Lleras Restrepo,,Lleras,COP_Lleras,100000,COP,Colombia
Carmen Serdán,,Serdan,MXN_Serdan,1000,MXN,Mexico
Cesária Évora,,Cesaria,CVE_Cesaria,2000,CVE,Cape Verde
Charles IV,,Charles,CZK_Charles,100,CZK,Czech Republic
Chief Obafemi Awolowo,,Obafemi,NGN_Obafemi,100,NGN,Nigeria
Codé Di Dona ,,Code,CVE_Code,1000,CVE,Cape Verde
Corazon C. Aquino,,Corazon,PHP_Corazon,500,PHP,Philippines
Dag Hammarskiöld,,Dag,SEK_Dag,1000,SEK,Sweden
Dámaso Antonio Larrañaga,,Larranaga,UYU_Larranaga,2000,UYU,Uruguay
David Unaipon,,Unaipon,AUD_Unaipon,50,AUD,Australia
Debora Arango,,Debora,COP_Debora,2000,COP,Colombia
Diego Rivera,,Rivera,MXN_Rivera,500,MXN,Mexico
Diosdado P. Macapagal,,Diosdado,PHP_Diosdado,200,PHP,Philippines
Djuanda Kartawidjaja,,Djuanda,IDR_Djuanda,50000,IDR,Indonesia
Domingo Faustino Sarmiento,,Domingo,ARS_Domingo,50,ARS,Argentina
Dorde Vajfert,,Dorde,RSD_Dorde,1000,RSD,Serbia
Dr. Alvan Ikoku,,Alvan,NGN_Alvan,10,NGN,Nigeria
Dr. Clement Isong,,Clement,NGN_Clement,1000,NGN,Nigeria
Dr. Hastings Kamuzu Banda,,Hastings,MWK_Hastings,1000,MWK,Malawi
Dr. Nnamdi Azikiwe,,Nnamdi,NGN_Nnamdi,500,NGN,Nigeria
Edith Cowan,,Edith,AUD_Edith,50,AUD,Australia
Edmund Hillary,,Edmund,NZD_Edmund,5,NZD,New Zealand
Eduardo Fabini,,Eduardo,UYU_Eduardo,100,UYU,Uruguay
Ema Destinnová,,Ema,CZK_Ema,2000,CZK,Czech Republic
Emilio Prud'Homme,,Emilio,DOP_Emilio,2000,DOP,Dominican Republic
Eustaquio Méndez,,Eustaquino,BOB_Eustaquino,10,BOB,Bolivia
Eva Perón,,Evita,ARS_Evita,100,ARS,Argentina
Evert Taube,,Evert,SEK_Evert,50,SEK,Sweden
Ezequiel Zamora,,Ezequiel,VES​_Ezequiel,100,VES​,Venezuela
Farhat Hached,,Farhat,TND_Farhat,20,TND,Tunisia
Fatma Aliye Topuz,,Fatma,TRY_Fatma,50,TRY,Turkey
Francisco de Miranda,,Miranda,VES​_Miranda,200,VES​,Venezuela
Francisco de Paula Santander,,Santander,COP_Santander,2000,COP,Colombia
Francisco del Rosario Sánchez,,Rosario,DOP_Rosario,100,DOP,Dominican Republic
Francisco I. Madero,,Madero,MXN_Madero,1000,MXN,Mexico
Francisco José Tenreiro,,Tenreiro,STD_Tenreiro,100000,STD,São Tomé and Príncipe 
Frans Kaisiepo,,Frans,IDR_Frans,10000,IDR,Indonesia
František Palacký,,Frantisek,CZK_Frantisek,1000,CZK,Czech Republic
Frida Kahlo,,Frida,MXN_Frida,500,MXN,Mexico
Gabriel García Márquez,,Gabriel,COP_Gabriel,50000,COP,Colombia
Gabriela Mistral,,Mistral,CLP_Mistral,5000,CLP,Chile
General Murtala Mohammed,,Murtala,NGN_Murtala,20,NGN,Nigeria
Genoveva Ríos,,Rios,BOB_Rios,20,BOB,Bolivia
George Washington,,Washington,USD_Washington,1,USD,United States
Gregorio Luperon,,Luperon,DOP_Luperon,20,DOP,Dominican Republic
Greta Garbo,,Greta,SEK_Greta,100,SEK,Sweden
GSSJ Ratulangi,,GSSJ,IDR_GSSJ,20000,IDR,Indonesia
Gusti Ngurah Rai,,Gusti,IDR_Gusti,50000,IDR,Indonesia
Hannibal,,Hannibal,TND_Hannibal,5,TND,Tunisia
Henrique Teixeira de Sousa ,,Henrique,CVE_Henrique,200,CVE,Cape Verde
Hermila Galindo,,Hermila,MXN_Hermila,1000,MXN,Mexico
Hideyo Noguchi,,Hideyo,JPY_Hideyo,1000,JPY,Japan
Hryhoriy Skovoroda,,Skovoroda,UAH_Skovoroda,500,UAH,Ukraine
Hugh Lawson Shearer,,Hugh,JMD_Hugh,1000,JMD,Jamaica
Ichiyo Higuchi,,Ichiyo,JPY_Ichiyo,5000,JPY,Japan
Idham Chalid,,Idham,IDR_Idham,5000,IDR,Indonesia
Ignacio Carrera Pinto,,Ignacio,CLP_Ignacio,1000,CLP,Chile
Ilia Chavchavadze,,Ilia,GEL_Ilia,20,GEL,Georgia
Ingmar Bergman,,Ingmar,SEK_Ingmar,200,SEK,Sweden
Inkosi ya Makhosi M'mbelwa II,,Mmbelwa,MWK_Mmbelwa,20,MWK,Malawi
Inkosi Ya Mokhosi Gomani II,,Gomani,MWK_Gomani,50,MWK,Malawi
Itri (Buhurizade Mustafa Efendi),,Itri,TRY_Itri,100,TRY,Turkey
Ivan Franko,,Franko,UAH_Franko,20,UAH,Ukraine
Ivan Mazepa,,Mazepa,UAH_Mazepa,10,UAH,Ukraine
Ivane Javakhishvili,,Ivane,GEL_Ivane,5,GEL,Georgia
J.M.W. Turner,,Turner,GBP_Turner,20,GBP,England
James Federick Sangala,,Sangala,MWK_Sangala,100,MWK,Malawi
James Gladstone (Akay-na-muka),,Gladstone,CAD_Gladstone,10,CAD,Canada
Jane Austen,,Austen,GBP_Austen,10,GBP,England
Jóhannes S. Kjarval,,Kjarval,ISK_Kjarval,2000,ISK,Iceland
John A. Macdonald,,Macdonald,CAD_Macdonald,10,CAD,Canada
John Amos Comenius,,Amos,CZK_Amos,200,CZK,Czech Republic
Jón Sigurdsson,,Sigurdsson,ISK_Sigurdsson,500,ISK,Iceland
Jónas Hallgrímsson,,Hallgrimsson,ISK_Hallgrimsson,10000,ISK,Iceland
Jorge Barbosa,,Barbosa,CVE_Barbosa,500,CVE,Cape Verde
Jorge Basadre Grohmann,,Basadre,PEN_Basadre,100,PEN,Peru
Jorge Eliécer Gaitán,,Gaitan,COP_Gaitan,1000,COP,Colombia
Jorge Isaacs,,Isaacs,COP_Isaacs,50000,COP,Colombia
José Abad Santos,,Abad,PHP_Abad,1000,PHP,Philippines
José Abelardo Quiñones Gonzales,,Abelardo,PEN_Abelardo,10,PEN,Peru
José Asunción Silva,,Asuncion,COP_Asuncion,5000,COP,Colombia
José Félix Ribas,,Ribas,VES​_Ribas,5,VES​,Venezuela
José Figueres,,Figueres,CRC_Figueres,10000,CRC,Costa Rica
"José Manuel Baca ""Cañoto""",,Canoto,BOB_Canoto,50,BOB,Bolivia
José María Morelos,,Morelos,MXN_Morelos,200,MXN,Mexico
José Pedro Varela,,Varela,UYU_Varela,50,UYU,Uruguay
José Rufino Reyes y Siancas,,Rufino,DOP_Rufino,2000,DOP,Dominican Republic
José Santos Vargas,,Santos,BOB_Santos,10,BOB,Bolivia
Josefa Camejo,,Camejo,VES​_Camejo,2,VES​,Venezuela
Josefa Llanes Escoda,,Llanes,PHP_Llanes,1000,PHP,Philippines
Jovan Cvijic,,Cvijic,RSD_Cvijic,500,RSD,Serbia
Juan Manuel de Rosas ,,Rosas,ARS_Rosas,20,ARS,Argentina
Juan Pablo Duarte,,Duarte,DOP_Duarte,100,DOP,Dominican Republic
Juan Zorrilla de San Martín,,Zorrilla,UYU_Zorrilla,20,UYU,Uruguay
Juana Azurduy de Padilla,,Azurduy,BOB_Azurduy,100,BOB,Bolivia
Juana de Ibarbourou,,Ibarbourou,UYU_Ibarbourou,1000,UYU,Uruguay
Julio Argentino Roca,,Argentino,ARS_Argentino,100,ARS,Argentina
Julio Garavito Armero,,Garavito,COP_Garavito,20000,COP,Colombia
Jusup Balasagyn,,Balasagyn,KGS_Balasagyn,1000,KGS,Kyrgyzstan
Kaikhosro (Kakutsa) Cholokashvili ,,Kakutsa,GEL_Kakutsa,200,GEL,Georgia
Kate Sheppard,,Sheppard,NZD_Sheppard,10,NZD,New Zealand
Kemal Atatürk,,Ataturk,TRY_Ataturk,5,TRY,Turkey
Kemaleddin,,Kemaleddin,TRY_Kemaleddin,20,TRY,Turkey
King David IV,,David,GEL_David,500,GEL,Georgia
King Sejong the Great,,Sejong,KRW_Sejong,10000,KRW,South Korea
Kurmanjan Datka,,Datka,KGS_Datka,50,KGS,Kyrgyzstan
Ladi Kwali,,Kwali,NGN_Kwali,20,NGN,Nigeria
Leah Goldberg,,Goldberg,ILS_Goldberg,100,ILS,Israel
Lesya Ukrainka,,Ukrainka,UAH_Ukrainka,200,UAH,Ukraine
Manuel A. Roxas,,Roxas,PHP_Roxas,100,PHP,Philippines
Manuel Belgrano,,Belgrano,ARS_Belgrano,10,ARS,Argentina
Manuel L. Quezon,,Quezon,PHP_Quezon,20,PHP,Philippines
Manuel Rodríguez Erdoyza,,Erdoyza,CLP_Erdoyza,2000,CLP,Chile
Mao Zedong,,Mao,RMB_Mao,1,RMB,China
María Isabel Carvajal (Carmen Lyra),,Carvajal,CRC_Carvajal,20000,CRC,Costa Rica
María Isabel Granda y Larco,,Granda,PEN_Granda,10,PEN,Peru
María Teresa Mirabal,,Maria,DOP_Maria,200,DOP,Dominican Republic
Mary Gilmore,,Gilmore,AUD_Gilmore,10,AUD,Australia
Mary Reibey ,,Reibey,AUD_Reibey,20,AUD,Australia
Matías Ramón Mella ,,Matias,DOP_Matias,100,DOP,Dominican Republic
Mauro Fernández Acuña,,Acuna,CRC_Acuna,2000,CRC,Costa Rica
Michael Norman Manley,,Norman,JMD_Norman,500,JMD,Jamaica
Michael Somare,,Somare,PGK_Somare,50,PGK,Papua New Guinea
Miguel Hidalgo,,Hidalgo,MXN_Hidalgo,200,MXN,Mexico
Milutin Milanković,,Milutin,RSD_Milutin,2000,RSD,Serbia
Minerva Mirabal,,Minerva,DOP_Minerva,200,DOP,Dominican Republic
Mohammad Hatta,,Hatta,IDR_Hatta,100000,IDR,Indonesia
Mohammad Husni Thamrin,,Husni,IDR_Husni,2000,IDR,Indonesia
Mykhailo Hrusheskyi,,Mykhailo,UAH_Mykhailo,50,UAH,Ukraine
Nadežda Petrović,,Petrovic,RSD_Petrovic,200,RSD,Serbia
Nanny of the Maroons,,Nanny,JMD_Nanny,500,JMD,Jamaica
Nathan Alterman,,Nathan,ILS_Nathan,200,ILS,Israel
Nellie Melba,,Nellie,AUD_Nellie,100,AUD,Australia
Nelson Mandela,,Mandela,ZAR_Mandela,10,ZAR,South Africa
Nezahualcóyotl,,Neza,MXN_Neza,100,MXN,Mexico
Niko Pirosmanashvili,,Niko,GEL_Niko,1,GEL,Georgia
Nikola Tesla,,Tesla,RSD_Tesla,100,RSD,Serbia
Oto Iskander Di Nata,,Oto,IDR_Oto,20000,IDR,Indonesia
Pablo Zárate Willka,,Zarate,BOB_Zarate,50,BOB,Bolivia
Patria Mirabal,,Patria,DOP_Patria,200,DOP,Dominican Republic
Pedro Figari,,Figari,UYU_Figari,200,UYU,Uruguay
Pedro Henriquez Ureña,,Urena,DOP_Urena,500,DOP,Dominican Republic
Pedro Ignacio Muiba,,Ignacio,BOB_Ignacio,20,BOB,Bolivia
Pedro Paulet,,Paulet,PEN_Paulet,100,PEN,Peru
Petar Petrovic Njegoš,,Njegos,RSD_Njegos,20,RSD,Serbia
Policarpa Salavarrieta,,Policarpa,COP_Policarpa,10000,COP,Colombia
Prince Antasari,,Prince,IDR_Prince,2000,IDR,Indonesia
Queen Elizabeth II,,Elizabeth,AUD_Elizabeth,5,AUD,Australia
Queen Tamar,,Tamar,GEL_Tamar,50,GEL,Georgia
Rachel Bluwstein,,Rachel,ILS_Rachel,20,ILS,Israel
Rafael Urdaneta,,Rajael,VES​_Rajael,10,VES​,Venezuela
Ragnheiður Jónsdóttir,,Ragnheiour,ISK_Ragnheiour,5000,ISK,Iceland
Raúl Porras Barrenechea,,Raul,PEN_Raul,20,PEN,Peru
Rei Amador,,Rei,STD_Rei,200,STD,São Tomé and Príncipe 
Reverend John Chilembwe,,Chilembwe,MWK_Chilembwe,500,MWK,Malawi
Reverend John Flynn ,,Flynn,AUD_Flynn,20,AUD,Australia
Ricardo Jiménez Oreamuno,,Ricardo,CRC_Ricardo,50000,CRC,Costa Rica
Rose Lomathinda Chibambo,,Rose,MWK_Rose,200,MWK,Malawi
Rutherford of Nelson,,Rutherford,NZD_Rutherford,100,NZD,New Zealand
Salomé Ureña,,Salome,DOP_Salome,500,DOP,Dominican Republic
Samuel Sharpe,,Sharpe,JMD_Sharpe,50,JMD,Jamaica
Santa Rosa de Lima,,Santa,PEN_Santa,200,PEN,Peru
Sayakbay Karalaev,,Sayakbay,KGS_Sayakbay,500,KGS,Kyrgyzstan
Sergio Osmeña,,Osmena,PHP_Osmena,50,PHP,Philippines
Shaul Tchernichovsky,,Shaul,ILS_Shaul,50,ILS,Israel
Shin Saimdang,,Shin,KRW_Shin,50000,KRW,South Korea
Shota Rustaveli,,Shota,GEL_Shota,100,GEL,Georgia
Simón Bolívar,,Bolivar,BOB_Bolivar,200,BOB,Bolivia
Simón Rodrigues,,Rodrigues,VES​_Rodrigues,20,VES​,Venezuela
Sir Donald Sangster,,Sangster,JMD_Sangster,100,JMD,Jamaica
Sir George-Étienne Cartier,,Cartier,CAD_Cartier,10,CAD,Canada
Sir John Monash,,Monash,AUD_Monash,100,AUD,Australia
Sir Robert Borden,,Borden,CAD_Borden,100,CAD,Canada
Sir Wilfrid Laurier,,Laurier,CAD_Laurier,5,CAD,Canada
Slobodan Jovanovic,,Slobodan,RSD_Slobodan,5000,RSD,Serbia
Soekarno,,Soekarno,IDR_Soekarno,100000,IDR,Indonesia
Sor Juana Inés de la Cruz,,Juana,MXN_Juana,100,MXN,Mexico
Stevan Stevanovic Mokranjac,,Stevanovic,RSD_Stevanovic,50,RSD,Serbia
Sultan Mahmud Badaruddin II,,Sultan,IDR_Sultan,10000,IDR,Indonesia
Suymonkul Chokmorov,,Suymonkul,KGS_Suymonkul,5000,KGS,Kyrgyzstan
Taras Shevchenko,,Taras,UAH_Taras,100,UAH,Ukraine
Tewhida Ben Sheikh,,Tewhida,TND_Tewhida,10,TND,Tunisia
Thomas Jefferson,,Jefferson,USD_Jefferson,2,USD,United States
Tjut Meutia,,Tjut,IDR_Tjut,1000,IDR,Indonesia
Togolok Moldo,,Togolok,KGS_Togolok,20,KGS,Kyrgyzstan
Toktogul Satylganov,,Toktogul,KGS_Toktogul,100,KGS,Kyrgyzstan
Tomáš Garrigue Masaryk,,Garrigue,CZK_Garrigue,5000,CZK,Czech Republic
Tomás Katari,,Katari,BOB_Katari,20,BOB,Bolivia
Tupac Katari (Julian Apasa Nina),,Tupac,BOB_Tupac,200,BOB,Bolivia
Ulysses S. Grant,,Ulysses,USD_Ulysses,50,USD,United States
Vicente Lim,,Vicente,PHP_Vicente,1000,PHP,Philippines
Viola Desmond,,Viola,CAD_Viola,10,CAD,Canada
Virginia Gutiérrez,,Virginia,COP_Virginia,10000,COP,Colombia
Volodymyr the Great,,Great,UAH_Great,1,UAH,Ukraine
Volodymyr Vernadskyi,,Vernadskyi,UAH_Vernadskyi,1000,UAH,Ukraine
Vuk Stefanovic Karadžic,,Vuk,RSD_Vuk,10,RSD,Serbia
William Lyon Mackenzie King,,Lyon,CAD_Lyon,50,CAD,Canada
Winston Churchill,,Churchill,GBP_Churchill,5,GBP,England
Yaroslav the Wise,,Yaroslav,UAH_Yaroslav,2,UAH,Ukraine
Yi Hwang,,Hwang,KRW_Hwang,1000,KRW,South Korea
Yi I,,I,KRW_I,5000,KRW,South Korea
Yukichi Fukuzawa,,Yukichi,JPY_Yukichi,10000,JPY,Japan
Yunus Emre,,Yunus,TRY_Yunus,200,TRY,Turkey
Zakaria Paliashvili,,Zakaria,GEL_Zakaria,2,GEL,Georgia
