country,countryAbbr,currencyName,name,gender,billCount,profession,knownForBeingFirst,currentBillValue,propTotalBills,firstAppearanceDate,deathDate,appearanceDeathDiff,comments,hoverText,hasPortrait,id
Argentina,ARS,Argentinian Peso,Eva Perón,F,1,Activist,No,100,,2012,1952,60,,,true,ARS_Evita
Argentina,ARS,Argentinian Peso,Julio Argentino Roca,M,1,Head of Gov't,No,100,,1988,1914,74,,,true,ARS_Argentino
Argentina,ARS,Argentinian Peso,Domingo Faustino Sarmiento,M,1,Head of Gov't,No,50,,1999,1888,111,,,true,ARS_Domingo
Argentina,ARS,Argentinian Peso,Juan Manuel de Rosas,M,1,Politician,No,20,,1992,1877,115,,,true,ARS_Rosas
Argentina,ARS,Argentinian Peso,Manuel Belgrano,M,1,Founder,Yes,10,,1970,1820,150,Came up with the first Argentine flag.,Designed first Argentine flag,true,ARS_Belgrano
Australia,AUD,Australian Dollar,David Unaipon,M,0.5,STEM,Yes,50,0.48,1995,1967,28,"Shares with another person. In 1927 when his book of Aboriginal legends, Hurgarrda was published, he became the first Australian Aboriginal writer to be published.",First Australian Aboriginal writer to be published,true,AUD_Unaipon
Australia,AUD,Australian Dollar,Mary Gilmore,F,0.5,Writer,Yes,10,0.08,1993,1962,31,Shares with another person. She became the first person to be appointed Dame Commander of the British Empire for contributions to literature.,First person appointed Dame Commander of the British Empire for contributions to literature,true,AUD_Gilmore
Australia,AUD,Australian Dollar,Reverend John Flynn,M,0.5,Religious figure,Yes,20,0.10,1994,1951,43,"Shares with another person. Founded Royal Flying Doctor Service, the world's first air ambulance.","Founded Royal Flying Doctor Service, the world's first air ambulance",true,AUD_Flynn
Australia,AUD,Australian Dollar,Banjo Paterson,M,0.5,Writer,No,10,0.08,1993,1941,52,Shares with another person,,true,AUD_Banjo
Australia,AUD,Australian Dollar,Edith Cowan,F,0.5,Politician,Yes,50,0.48,1995,1932,63,Shares with another person. She is best known as the first Australian woman to serve as a member of parliament.,First Australian woman to serve as a member of Parliament,true,AUD_Edith
Australia,AUD,Australian Dollar,Nellie Melba,F,0.5,Musician,Yes,100,0.22,1996,1931,65,Shares with another person. The first Australian to achieve international recognition as a classical musician.,First Australian to achieve international recognition as a classical musician.,true,AUD_Nellie
Australia,AUD,Australian Dollar,Sir John Monash,M,0.5,Military,No,100,0.22,1996,1931,65,Shares with another person,,true,AUD_Monash
Australia,AUD,Australian Dollar,Mary Reibey,F,0.5,Other,No,20,0.10,1994,1855,139,Shares with another person. businessperson,,true,AUD_Reibey
Australia,AUD,Australian Dollar,Queen Elizabeth II,F,1,Monarch,No,5,0.11,1961,,,,,true,AUD_Elizabeth
Bangladesh,BDT,Taka,Bangabandhu Sheikh Mujibur Rahman,M,1,Founder,Yes,20,,1972,1975,-3,Founder of Bangladesh who served as the first President and later as the Prime Minister of Bangladesh,First President of Bangladesh,true,BDT_Rahman
Bangladesh,BDT,Taka,Bangabandhu Sheikh Mujibur Rahman,M,1,Founder,Yes,1000,,1972,1975,-3,Founder of Bangladesh who served as the first President and later as the Prime Minister of Bangladesh,First President of Bangladesh,true,BDT_Rahman
Bangladesh,BDT,Taka,Bangabandhu Sheikh Mujibur Rahman,M,1,Founder,Yes,500,,1972,1975,-3,Founder of Bangladesh who served as the first President and later as the Prime Minister of Bangladesh,First President of Bangladesh,true,BDT_Rahman
Bangladesh,BDT,Taka,Bangabandhu Sheikh Mujibur Rahman,M,1,Founder,Yes,200,,1972,1975,-3,Founder of Bangladesh who served as the first President and later as the Prime Minister of Bangladesh,First President of Bangladesh,true,BDT_Rahman
Bangladesh,BDT,Taka,Bangabandhu Sheikh Mujibur Rahman,M,1,Founder,Yes,100,,1972,1975,-3,Founder of Bangladesh who served as the first President and later as the Prime Minister of Bangladesh,First President of Bangladesh,true,BDT_Rahman
Bangladesh,BDT,Taka,Bangabandhu Sheikh Mujibur Rahman,M,1,Founder,Yes,50,,1972,1975,-3,Founder of Bangladesh who served as the first President and later as the Prime Minister of Bangladesh,First President of Bangladesh,true,BDT_Rahman
